BaRT_ID;HORVU_ID
BaRT2v18chr2HG051450;HORVU.MOREX.r3.UnG0776700
BaRT2v18chr2HG053240;HORVU.MOREX.r3.2HG0101240
BaRT2v18chr2HG054760;HORVU.MOREX.r3.2HG0104910
BaRT2v18chr2HG055050;HORVU.MOREX.r3.2HG0105420
BaRT2v18chr2HG055100;HORVU.MOREX.r3.2HG0105520
BaRT2v18chr2HG055100;HORVU.MOREX.r3.2HG0105540
BaRT2v18chr2HG059050;HORVU.MOREX.r3.2HG0112820
BaRT2v18chr2HG059260;HORVU.MOREX.r3.2HG0113160
BaRT2v18chr2HG059550;HORVU.MOREX.r3.2HG0113660
BaRT2v18chr2HG059940;HORVU.MOREX.r3.2HG0114280
BaRT2v18chr2HG061340;HORVU.MOREX.r3.2HG0117090
BaRT2v18chr2HG064210;HORVU.MOREX.r3.2HG0122450
BaRT2v18chr2HG068990;HORVU.MOREX.r3.2HG0132230
BaRT2v18chr2HG073100;HORVU.MOREX.r3.2HG0141400
BaRT2v18chr2HG074360;HORVU.MOREX.r3.2HG0144830
BaRT2v18chr2HG075920;HORVU.MOREX.r3.2HG0149050
BaRT2v18chr2HG076470;HORVU.MOREX.r3.2HG0150290
BaRT2v18chr2HG078600;HORVU.MOREX.r3.2HG0155750
BaRT2v18chr2HG079100;HORVU.MOREX.r3.2HG0156960
BaRT2v18chr2HG079130;HORVU.MOREX.r3.2HG0157030
BaRT2v18chr2HG080620;HORVU.MOREX.r3.2HG0159970
BaRT2v18chr2HG080980;HORVU.MOREX.r3.2HG0160800
BaRT2v18chr2HG081030;HORVU.MOREX.r3.2HG0160930
BaRT2v18chr2HG082750;HORVU.MOREX.r3.2HG0165870
BaRT2v18chr2HG083380;HORVU.MOREX.r3.2HG0166530
BaRT2v18chr2HG083410;HORVU.MOREX.r3.2HG0166630
BaRT2v18chr2HG083720;HORVU.MOREX.r3.2HG0167300
BaRT2v18chr2HG084230;HORVU.MOREX.r3.2HG0168390
BaRT2v18chr2HG085120;HORVU.MOREX.r3.2HG0170290
BaRT2v18chr2HG086110;HORVU.MOREX.r3.2HG0172320
BaRT2v18chr2HG087290;HORVU.MOREX.r3.2HG0173920
BaRT2v18chr2HG087300;HORVU.MOREX.r3.2HG0173950
BaRT2v18chr2HG089970;HORVU.MOREX.r3.2HG0178230
BaRT2v18chr2HG090510;HORVU.MOREX.r3.2HG0178950
BaRT2v18chr2HG091270;HORVU.MOREX.r3.2HG0180490
BaRT2v18chr2HG093010;HORVU.MOREX.r3.2HG0183690
BaRT2v18chr2HG097880;HORVU.MOREX.r3.2HG0191100
BaRT2v18chr2HG098800;HORVU.MOREX.r3.2HG0192510
BaRT2v18chr2HG098840;HORVU.MOREX.r3.2HG0192620
BaRT2v18chr2HG103800;HORVU.MOREX.r3.2HG0198790
BaRT2v18chr2HG108240;HORVU.MOREX.r3.2HG0206500
BaRT2v18chr2HG108330;HORVU.MOREX.r3.2HG0206630
BaRT2v18chr2HG110280;HORVU.MOREX.r3.2HG0209810
BaRT2v18chr3HG115050;HORVU.MOREX.r3.3HG0218230
BaRT2v18chr3HG115710;HORVU.MOREX.r3.3HG0219330
BaRT2v18chr3HG115740;HORVU.MOREX.r3.3HG0219360
BaRT2v18chr3HG117910;HORVU.MOREX.r3.3HG0224040
BaRT2v18chr3HG126270;HORVU.MOREX.r3.3HG0239840
BaRT2v18chr3HG127280;HORVU.MOREX.r3.3HG0241720
BaRT2v18chr3HG128730;HORVU.MOREX.r3.3HG0244960
BaRT2v18chr3HG130410;HORVU.MOREX.r3.3HG0248100
BaRT2v18chr3HG130430;HORVU.MOREX.r3.3HG0248120
BaRT2v18chr3HG130790;HORVU.MOREX.r3.3HG0248810
BaRT2v18chr3HG132390;HORVU.MOREX.r3.3HG0252270
BaRT2v18chr3HG136690;HORVU.MOREX.r3.3HG0262290
BaRT2v18chr3HG137250;HORVU.MOREX.r3.3HG0263860
BaRT2v18chr3HG138020;HORVU.MOREX.r3.3HG0266000
BaRT2v18chr3HG139040;HORVU.MOREX.r3.3HG0268410
BaRT2v18chr3HG139620;HORVU.MOREX.r3.3HG0270100
BaRT2v18chr3HG140210;HORVU.MOREX.r3.3HG0271550
BaRT2v18chr3HG143320;HORVU.MOREX.r3.3HG0278440
BaRT2v18chr3HG143530;HORVU.MOREX.r3.3HG0279110
BaRT2v18chr3HG144770;HORVU.MOREX.r3.3HG0281240
BaRT2v18chr3HG145300;HORVU.MOREX.r3.3HG0282500
BaRT2v18chr3HG146020;HORVU.MOREX.r3.3HG0283730
BaRT2v18chr3HG150010;HORVU.MOREX.r3.3HG0290320
BaRT2v18chr3HG152830;HORVU.MOREX.r3.3HG0295200
BaRT2v18chr3HG156320;HORVU.MOREX.r3.3HG0300700
BaRT2v18chr3HG157500;HORVU.MOREX.r3.3HG0302410
BaRT2v18chr3HG157750;HORVU.MOREX.r3.3HG0302760
BaRT2v18chr3HG158010;HORVU.MOREX.r3.3HG0303110
BaRT2v18chr3HG158320;HORVU.MOREX.r3.3HG0303550
BaRT2v18chr3HG159280;HORVU.MOREX.r3.3HG0305100
BaRT2v18chr3HG160790;HORVU.MOREX.r3.3HG0307240
BaRT2v18chr3HG161760;HORVU.MOREX.r3.3HG0308840
BaRT2v18chr3HG162850;HORVU.MOREX.r3.3HG0310400
BaRT2v18chr3HG170860;HORVU.MOREX.r3.3HG0324930
BaRT2v18chr3HG172930;HORVU.MOREX.r3.3HG0329300
BaRT2v18chr3HG173430;HORVU.MOREX.r3.3HG0330120
BaRT2v18chr3HG173920;HORVU.MOREX.r3.3HG0330980
BaRT2v18chr4HG174880;HORVU.MOREX.r3.4HG0331980
BaRT2v18chr4HG174910;HORVU.MOREX.r3.4HG0332030
BaRT2v18chr4HG174910;HORVU.MOREX.r3.4HG0332030
BaRT2v18chr4HG176280;HORVU.MOREX.r3.4HG0333970
BaRT2v18chr4HG181720;HORVU.MOREX.r3.4HG0341940
BaRT2v18chr4HG182610;HORVU.MOREX.r3.4HG0343350
BaRT2v18chr4HG182780;HORVU.MOREX.r3.4HG0343610
BaRT2v18chr4HG185770;HORVU.MOREX.r3.4HG0349380
BaRT2v18chr4HG186740;HORVU.MOREX.r3.4HG0351560
BaRT2v18chr4HG188680;HORVU.MOREX.r3.4HG0356550
BaRT2v18chr4HG189710;HORVU.MOREX.r3.4HG0358890
BaRT2v18chr4HG196540;HORVU.MOREX.r3.4HG0378860
BaRT2v18chr4HG196910;HORVU.MOREX.r3.4HG0379540
BaRT2v18chr4HG197370;HORVU.MOREX.r3.4HG0380480
BaRT2v18chr4HG197370;HORVU.MOREX.r3.4HG0380480
BaRT2v18chr4HG199130;HORVU.MOREX.r3.4HG0383880
BaRT2v18chr4HG203720;HORVU.MOREX.r3.4HG0391960
BaRT2v18chr4HG203760;HORVU.MOREX.r3.4HG0392110
BaRT2v18chr4HG204910;HORVU.MOREX.r3.4HG0393930
BaRT2v18chr4HG206240;HORVU.MOREX.r3.4HG0396080
BaRT2v18chr4HG208040;HORVU.MOREX.r3.4HG0399020
BaRT2v18chr4HG211370;HORVU.MOREX.r3.4HG0404070
BaRT2v18chr4HG211370;HORVU.MOREX.r3.4HG0404070
BaRT2v18chr4HG211950;HORVU.MOREX.r3.4HG0404940
BaRT2v18chr4HG212270;HORVU.MOREX.r3.4HG0405590
BaRT2v18chr4HG213170;HORVU.MOREX.r3.4HG0406960
BaRT2v18chr4HG216130;HORVU.MOREX.r3.4HG0411600
